附表,二轮状态,材料ID,来源数据,书家,书体/可能书体,quote,page_no,source_file,原文命中,证据等级,门禁,第二轮动作,进入主表建议,问题/隐患,备注,对应原高置信记录
附表A｜第二轮确定风格主表,主表保留但需复核,SD-0017,08_原高置信证据表,王羲之,草书/泛草,逸少草有女郎才，无丈夫气，不足贵也,161,page_161.txt,exact,中,checkpoint-source; checkpoint-final,保留为第二轮高置信风格证据；继续支持网站回原文。,已入主表,书体标签需复核,《书议》中明确评价王羲之草书,SD-0017
附表A｜第二轮确定风格主表,主表保留,SD-0018,08_原高置信证据表,王献之,行草,及其业成之后，神能独超，天姿特秀，流便简易，志在惊奇，峻险高深，起自此子。,163,page_163.txt,exact,强,checkpoint-source; checkpoint-final,保留为第二轮高置信风格证据；继续支持网站回原文。,已入主表,无,《书议》中描述王献之行草风格,SD-0018
附表A｜第二轮确定风格主表,主表保留,SD-0002,08_原高置信证据表,李斯,小篆,画如铁石，字 若飞动，作楷隶之祖，为不易之法。,171,page_171.txt,exact,强,checkpoint-source; checkpoint-final,保留为第二轮高置信风格证据；继续支持网站回原文。,已入主表,无,原文有 OCR 空格“字 若飞动”；小篆风格/法式描述,SD-0002
附表A｜第二轮确定风格主表,主表保留,SD-NEW-AUX-017,08_原高置信证据表,李斯,小篆,李君创法，神虑精微，铁为肢体，虬作骖騑，江海渺漫，山岳峨巍，长风万里，鸾凤于飞。,172,page_172.txt,exact,中,checkpoint-source; checkpoint-final,保留为第二轮高置信风格证据；继续支持网站回原文。,已入主表,无,紧接“小篆之祖也”语境；“铁为肢体”“虬作骖騑”“江海渺漫”“山岳峨巍”“长风万里”“鸾凤于飞”均为形体、笔势、气象、动态比喻；书家与书体可由上下文确定。,SD-NEW-AUX-017
附表A｜第二轮确定风格主表,主表保留,SD-0001,08_原高置信证据表,史籀,大篆；籀文,折直劲迅，有如镂铁，而端姿旁逸，又婉润焉,187,page_187.txt,exact,强,checkpoint-source; checkpoint-final,保留为第二轮高置信风格证据；继续支持网站回原文。,已入主表,无,镂铁比喻，描述大篆风格,SD-0001
附表A｜第二轮确定风格主表,主表保留,SD-0003,08_原高置信证据表,杜度,章草,韦诞云：杜氏杰有骨力，而字笔画微瘦，崔氏法之，书体甚浓，结字工巧，时有不及，张芝喜而学焉。,188,page_188.txt,exact,强,checkpoint-source; checkpoint-final,保留为第二轮高置信风格证据；继续支持网站回原文。,已入主表,无,韦诞评价；兼及崔瑗师法杜度，保留完整原文,SD-0003
附表A｜第二轮确定风格主表,主表保留,SD-0004,08_原高置信证据表,崔瑗,章草,点画之间，莫不调畅，伯英祖述之，其骨力精熟过之也,188,page_188.txt,exact,强,checkpoint-source; checkpoint-final,保留为第二轮高置信风格证据；继续支持网站回原文。,已入主表,无,草贤,SD-0004
附表A｜第二轮确定风格主表,主表保留,SD-0007,08_原高置信证据表,张芝,今草,若清涧长源，流而无限，萦回崖谷，任于造化,189,page_189.txt,exact,强,checkpoint-source; checkpoint-final,保留为第二轮高置信风格证据；继续支持网站回原文。,已入主表,无,建议与 SD-0008 合并为张芝今草连续风格描述，或在两条记录备注中互指，避免把连续比喻拆成孤立短句。,SD-0007
附表A｜第二轮确定风格主表,主表保留,SD-0008,08_原高置信证据表,张芝,今草,心手随变，窈冥而不知其所如，是谓达节,189,page_189.txt,exact,强,checkpoint-source; checkpoint-final,保留为第二轮高置信风格证据；继续支持网站回原文。,已入主表,无,草书之神妙；同句“拿攫”待PDF核对,SD-0008
附表A｜第二轮确定风格主表,主表保留,SD-0005,08_原高置信证据表,皇象,章草,沉着痛快,190,page_190.txt,exact,强,checkpoint-source; checkpoint-final,保留为第二轮高置信风格证据；继续支持网站回原文。,已入主表,无,建议摘录为“工章草，师于杜度……世谓沉着痛快”或至少在备注中保留“世谓沉着痛快”。,SD-0005
附表A｜第二轮确定风格主表,主表保留,SD-0006,08_原高置信证据表,皇象,八分,妖冶不逮，通议伤于多肉,190,page_190.txt,exact,强,checkpoint-source; checkpoint-final,保留为第二轮高置信风格证据；继续支持网站回原文。,已入主表,无,八分雄才逸力亚于蔡邕,SD-0006
附表A｜第二轮确定风格主表,主表保留,SD-0009,08_原高置信证据表,蔡邕,八分,体法百变，穷灵尽妙，独步今古,190,page_190.txt,exact,强,checkpoint-source; checkpoint-final,保留为第二轮高置信风格证据；继续支持网站回原文。,已入主表,无,隶绝世，尤得八分之精微,SD-0009
附表A｜第二轮确定风格主表,主表保留,SD-0010,08_原高置信证据表,蔡邕,飞白,妙有绝伦，动合神功，真异能之士,190,page_190.txt,exact,强,checkpoint-source; checkpoint-final,保留为第二轮高置信风格证据；继续支持网站回原文。,已入主表,无,创造飞白,SD-0010
附表A｜第二轮确定风格主表,主表保留,SD-0011,08_原高置信证据表,锺繇,真书,真书绝世，刚柔备焉，点画之间，多有异趣，可谓幽深无际，古雅有馀，秦、汉以来，一人而已。,190,page_190.txt,exact,强,checkpoint-source; checkpoint-final,保留为第二轮高置信风格证据；继续支持网站回原文。,已入主表,无,真书风格描述，保留“可谓”及完整评价,SD-0011
附表A｜第二轮确定风格主表,主表保留,SD-0012,08_原高置信证据表,卫瓘,章草,天姿特秀，若鸿雁奋六翮，飘颻乎清风之上，率情运用,191,page_191.txt,exact,强,checkpoint-source; checkpoint-final,保留为第二轮高置信风格证据；继续支持网站回原文。,已入主表,无,得伯英之筋,SD-0012
附表A｜第二轮确定风格主表,主表保留,SD-0013,08_原高置信证据表,索靖,章草,峻险过之，有若山形中裂，水势悬流，雪岭孤松，冰河危石，其坚劲则古今不逮,191,page_191.txt,exact,强,checkpoint-source; checkpoint-final,保留为第二轮高置信风格证据；继续支持网站回原文。,已入主表,无,草绝世,SD-0013
附表A｜第二轮确定风格主表,主表保留但需复核,SD-0014,08_原高置信证据表,王羲之,草书/泛草,剖析张公之草，而浓纤折衷，乃愧其精熟,192,page_192.txt,exact,中,checkpoint-source; checkpoint-final,保留为第二轮高置信风格证据；继续支持网站回原文。,已入主表,书体标签需复核,保留可用，但备注应明确这是王羲之草书相对张芝的比较评价，不宜脱离“张公之草”。,SD-0014
附表A｜第二轮确定风格主表,主表保留,SD-0015,08_原高置信证据表,王羲之,隶书/泛隶,损益锺君之隶，虽运用增华，而古雅不逮,192,page_192.txt,exact,强,checkpoint-source; checkpoint-final,保留为第二轮高置信风格证据；继续支持网站回原文。,已入主表,无,保留可用，但备注应明确这是王羲之隶书相对锺繇的比较评价，不宜脱离“锺君之隶”。,SD-0015
附表A｜第二轮确定风格主表,主表保留,SD-0016,08_原高置信证据表,王羲之,行书/泛行,若养由之术，百发百中，飞名盖世，独映将来,192,page_192.txt,exact,强,checkpoint-source; checkpoint-final,保留为第二轮高置信风格证据；继续支持网站回原文。,已入主表,无,,SD-0016
